,nepochs,max_features,embed_dim,lstm_out,batch_size,train_max,val_max,diff
0,10.0,100.0,16.0,16.0,32.0,0.582,0.59,-0.008000000000000007
1,10.0,100.0,16.0,16.0,128.0,0.5638,0.5780000028610229,-0.014200002861022964
2,10.0,100.0,16.0,16.0,256.0,0.5593999992370605,0.5830000028610229,-0.023600003623962418
3,10.0,100.0,16.0,64.0,32.0,0.585,0.589,-0.0040000000000000036
4,10.0,100.0,16.0,64.0,128.0,0.5786,0.5969999995231628,-0.018399999523162847
5,10.0,100.0,16.0,64.0,256.0,0.5714000002861023,0.5940000038146973,-0.022600003528595036
6,10.0,100.0,16.0,128.0,32.0,0.5912,0.583,0.008199999999999985
7,10.0,100.0,16.0,128.0,128.0,0.585,0.5889999990463257,-0.003999999046325753
8,10.0,100.0,16.0,128.0,256.0,0.5841999999046326,0.5880000004768372,-0.0038000005722046426
9,10.0,100.0,64.0,16.0,32.0,0.5908,0.59,0.0008000000000000229
10,10.0,100.0,64.0,16.0,128.0,0.5706,0.5640000009536743,0.006599999046325689
11,10.0,100.0,64.0,16.0,256.0,0.5794000001907349,0.5809999971389771,-0.0015999969482421994
12,10.0,100.0,64.0,64.0,32.0,0.5896,0.592,-0.0023999999999999577
13,10.0,100.0,64.0,64.0,128.0,0.594,0.5990000009536743,-0.005000000953674366
14,10.0,100.0,64.0,64.0,256.0,0.584800000667572,0.5990000047683716,-0.01420000410079958
15,10.0,100.0,64.0,128.0,32.0,0.5934,0.593,0.00040000000000006697
16,10.0,100.0,64.0,128.0,128.0,0.5976,0.5960000004768372,0.0015999995231628095
17,10.0,100.0,64.0,128.0,256.0,0.5990000002861023,0.6010000038146973,-0.0020000035285949735
18,10.0,100.0,128.0,16.0,32.0,0.5908,0.604,-0.01319999999999999
19,10.0,100.0,128.0,16.0,128.0,0.5796,0.5820000028610229,-0.002400002861022932
20,10.0,100.0,128.0,16.0,256.0,0.5767999996185302,0.5830000019073487,-0.006200002288818451
21,10.0,100.0,128.0,64.0,32.0,0.6034,0.605,-0.0015999999999999348
22,10.0,100.0,128.0,64.0,128.0,0.6042,0.5919999976158142,0.012200002384185726
23,10.0,100.0,128.0,64.0,256.0,0.6021999994277955,0.5980000004768372,0.004199998950958239
24,10.0,100.0,128.0,128.0,32.0,0.6,0.592,0.008000000000000007
25,10.0,100.0,128.0,128.0,128.0,0.5928,0.5890000019073486,0.003799998092651413
26,10.0,100.0,128.0,128.0,256.0,0.6025999999046325,0.6009999933242798,0.001600006580352753
27,10.0,1000.0,16.0,16.0,32.0,0.591,0.586,0.0050000000000000044
28,10.0,1000.0,16.0,16.0,128.0,0.5728,0.5840000009536743,-0.01120000095367435
29,10.0,1000.0,16.0,16.0,256.0,0.5612000004768372,0.5659999952316285,-0.004799994754791315
30,10.0,1000.0,16.0,64.0,32.0,0.5978,0.596,0.0018000000000000238
31,10.0,1000.0,16.0,64.0,128.0,0.584,0.6039999995231629,-0.019999999523162892
32,10.0,1000.0,16.0,64.0,256.0,0.5814000005722046,0.594999997138977,-0.013599996566772354
33,10.0,1000.0,16.0,128.0,32.0,0.5888,0.582,0.006800000000000028
34,10.0,1000.0,16.0,128.0,128.0,0.585,0.5949999980926514,-0.009999998092651396
35,10.0,1000.0,16.0,128.0,256.0,0.5830000004768372,0.5839999961853027,-0.0009999957084655398
36,10.0,1000.0,64.0,16.0,32.0,0.601,0.608,-0.007000000000000006
37,10.0,1000.0,64.0,16.0,128.0,0.587,0.5939999980926514,-0.006999998092651394
38,10.0,1000.0,64.0,16.0,256.0,0.5791999995231628,0.5770000019073487,0.002199997615814131
39,10.0,1000.0,64.0,64.0,32.0,0.605,0.61,-0.0050000000000000044
40,10.0,1000.0,64.0,64.0,128.0,0.598,0.5929999980926514,0.005000001907348617
41,10.0,1000.0,64.0,64.0,256.0,0.6025999998092652,0.5970000038146973,0.005599995994567841
42,10.0,1000.0,64.0,128.0,32.0,0.608,0.594,0.014000000000000012
43,10.0,1000.0,64.0,128.0,128.0,0.6036,0.6079999980926514,-0.004399998092651347
44,10.0,1000.0,64.0,128.0,256.0,0.605,0.6009999933242798,0.004000006675720202
45,10.0,1000.0,128.0,16.0,32.0,0.5994,0.585,0.01440000000000008
46,10.0,1000.0,128.0,16.0,128.0,0.5904,0.5859999985694885,0.0044000014305115576
47,10.0,1000.0,128.0,16.0,256.0,0.581599999332428,0.5849999980926514,-0.003399998760223344
48,10.0,1000.0,128.0,64.0,32.0,0.6098,0.61,-0.00019999999999997797
49,10.0,1000.0,128.0,64.0,128.0,0.6004,0.6050000004768371,-0.004600000476837063
50,10.0,1000.0,128.0,64.0,256.0,0.6056000007629394,0.6029999933242798,0.002600007438659624
51,10.0,1000.0,128.0,128.0,32.0,0.6132,0.604,0.009199999999999986
52,10.0,1000.0,128.0,128.0,128.0,0.6102,0.6040000019073486,0.006199998092651371
53,10.0,1000.0,128.0,128.0,256.0,0.6174000001907348,0.5989999933242798,0.018400006866455043
