,nepochs,max_features,embed_dim,lstm_out,batch_size,train_max,val_max,diff
0,10.0,1000.0,16.0,64.0,256.0,0.7859999999046325,0.744,0.041999999904632546
1,10.0,1000.0,16.0,128.0,256.0,0.784399999332428,0.746999994277954,0.03740000505447394
2,10.0,1000.0,16.0,256.0,256.0,0.7747999997138977,0.7279999976158142,0.04680000209808344
3,10.0,1000.0,64.0,64.0,256.0,0.8329999992370606,0.7590000057220458,0.07399999351501474
4,10.0,1000.0,64.0,128.0,256.0,0.8305999998092651,0.759,0.07159999980926512
5,10.0,1000.0,64.0,256.0,256.0,0.8249999994277954,0.7549999952316284,0.07000000419616703
6,10.0,1000.0,128.0,64.0,256.0,0.848800000667572,0.7599999976158142,0.08880000305175784
7,10.0,1000.0,128.0,128.0,256.0,0.8393999992370605,0.749,0.09039999923706055
8,10.0,1000.0,128.0,256.0,256.0,0.8414,0.7519999966621399,0.08940000333786013
9,10.0,1000.0,256.0,64.0,256.0,0.8503999998092652,0.7520000047683716,0.09839999504089358
10,10.0,1000.0,256.0,128.0,256.0,0.8614000005722046,0.748999994277954,0.11240000629425051
11,10.0,1000.0,256.0,256.0,256.0,0.8532000003814697,0.7470000023841858,0.10619999799728386
12,10.0,5000.0,16.0,64.0,256.0,0.8826000003814697,0.754,0.12860000038146968
13,10.0,5000.0,16.0,128.0,256.0,0.8679999998092651,0.7379999980926514,0.13000000171661374
14,10.0,5000.0,16.0,256.0,256.0,0.8740000001907349,0.7329999980926514,0.1410000020980835
15,10.0,5000.0,64.0,64.0,256.0,0.9322000004768372,0.7669999942779541,0.1652000061988831
16,10.0,5000.0,64.0,128.0,256.0,0.9405999995231629,0.7530000033378601,0.18759999618530276
17,10.0,5000.0,64.0,256.0,256.0,0.9367999999046326,0.7580000057220458,0.17879999418258674
18,10.0,5000.0,128.0,64.0,256.0,0.9461999999046325,0.7679999976158142,0.17820000228881838
19,10.0,5000.0,128.0,128.0,256.0,0.9481999995231628,0.7479999933242798,0.200200006198883
20,10.0,5000.0,128.0,256.0,256.0,0.9552000002861023,0.7619999976158142,0.19320000267028814
21,10.0,5000.0,256.0,64.0,256.0,0.9637999992370605,0.7629999985694885,0.20080000066757198
22,10.0,5000.0,256.0,128.0,256.0,0.9666000002861023,0.7640000066757202,0.20259999361038206
23,10.0,5000.0,256.0,256.0,256.0,0.9704000000953674,0.755000005722046,0.21539999437332147
